,English,Italian
0,about,di
1,acid,acido
2,across,attraverso
3,act,atto
4,addition,aggiunta
5,adjustment,Regolazione
6,advertisement,annuncio pubblicitario
7,after,dopo
8,again,ancora
9,against,contro
10,agreement,accordo
11,air,aria
12,all,tutti
13,almost,quasi
14,among,tra
15,amount,Quantità
16,amusement,divertimento
17,and,e
18,angry,arrabbiato
19,animal,animale
20,answer,Rispondere
21,ant,formica
22,any,qualunque
23,apparatus,Apparato
24,apple,Mela
25,approval,approvazione
26,arch,arco
27,argument,discussione
28,arm,braccio
29,army,esercito
30,art,arte
31,as,come
32,at,in
33,attack,attacco
34,attempt,tentativo
35,attention,Attenzione
36,attraction,attrazione
37,authority,autorità
38,automatic,automatico
39,baby,bambino
40,back,Indietro
41,bad,cattivo
42,bag,borsa
43,balance,equilibrio
44,ball,sfera
45,band,gruppo musicale
46,base,base
47,basin,bacino
48,basket,cestino
49,bath,bagno
50,be,essere
51,beautiful,bellissimo
52,because,perché
53,bed,letto
54,bee,ape
55,before,prima
56,behaviour,comportamento
57,belief,credenza
58,bell,campana
59,bent,piegato
60,berry,bacca
61,between,fra
62,bird,uccello
63,birth,nascita
64,bit,po
65,bite,morso
66,bitter,amaro
67,black,Nero
68,blade,lama
69,blood,sangue
70,blow,soffio
71,blue,blu
72,board,asse
73,boat,barca
74,body,corpo
75,boiling,bollente
76,bone,osso
77,book,prenotare
78,boot,stivale
79,bottle,bottiglia
80,box,scatola
81,boy,ragazzo
82,brain,cervello
83,brake,freno
84,branch,ramo
85,brass,ottone
86,bread,pane
87,breath,respiro
88,brick,mattone
89,bridge,ponte
90,bright,luminoso
91,broken,rotte
92,brother,fratello
93,brown,Marrone
94,brush,spazzola
95,bucket,secchio
96,building,costruzione
97,bulb,lampadina
98,burn,bruciare
99,burst,scoppiare
100,business,Attività commerciale
101,but,ma
102,butter,Burro
103,button,pulsante
104,by,di
105,cake,torta
106,camera,telecamera
107,canvas,tela
108,card,carta
109,care,cura
110,carriage,carrozza
111,cart,carrello
112,cat,gatto
113,cause,causa
114,certain,certo
115,chain,catena
116,chalk,gesso
117,chance,opportunità
118,change,modificare
119,cheap,a buon mercato
120,cheese,il formaggio
121,chemical,chimico
122,chest,petto
123,chief,capo
124,chin,mento
125,church,Chiesa
126,circle,cerchio
127,clean,pulito
128,clear,chiaro
129,clock,orologio
130,cloth,stoffa
131,cloud,nube
132,coal,carbone
133,coat,cappotto
134,cold,freddo
135,collar,collare
136,colour,colore
137,comb,pettine
138,comfort,comfort
139,committee,Comitato
140,common,comune
141,company,azienda
142,comparison,confronto
143,competition,concorrenza
144,complete,completare
145,complex,complesso
146,condition,condizione
147,connection,connessione
148,conscious,cosciente
149,control,controllo
150,cook,cucinare
151,copper,rame
152,copy,copia
153,cord,corda
154,cork,sughero
155,cotton,cotone
156,cough,tosse
157,country,nazione
158,cover,copertina
159,cow,mucca
160,crack,crepa
161,credit,credito
162,crime,crimine
163,cruel,crudele
164,crush,schiacciare
165,cry,gridare
166,cup,tazza
167,current,attuale
168,curtain,tenda
169,curve,curva
170,cushion,cuscino
171,cut,tagliare
172,damage,danno
173,danger,Pericolo
174,dark,scuro
175,daughter,figlia
176,day,giorno
177,dead,morto
178,dear,caro
179,death,Morte
180,debt,debito
181,decision,decisione
182,deep,profondo
183,degree,livello
184,delicate,delicato
185,dependent,dipendente
186,design,progetto
187,desire,desiderio
188,destruction,distruzione
189,detail,dettaglio
190,development,sviluppo
191,different,diverso
192,digestion,digestione
193,direction,direzione
194,dirty,sporco
195,discovery,scoperta
196,discussion,discussione
197,disease,patologia
198,disgust,disgusto
199,distance,distanza
200,distribution,distribuzione
201,division,divisione
202,do,fare
203,dog,cane
204,door,porta
205,doubt,dubbio
206,down,in basso
207,drain,drenare
208,drawer,cassetto
209,dress,vestire
210,drink,bere
211,driving,guida
212,drop,gocciolare
213,dry,asciutto
214,dust,polvere
215,ear,orecchio
216,early,presto
217,earth,terra
218,east,est
219,edge,bordo
220,education,formazione scolastica
221,effect,effetto
222,egg,uovo
223,elastic,elastico
224,electric,elettrico
225,end,fine
226,engine,motore
227,enough,abbastanza
228,equal,pari
229,error,errore
230,even,anche
231,event,evento
232,ever,sempre
233,every,ogni
234,example,esempio
235,exchange,scambio
236,existence,esistenza
237,expansion,espansione
238,experience,Esperienza
239,expert,esperto
240,face,viso
241,fact,fatto
242,fall,cade
243,FALSE,Falso
244,family,famiglia
245,far,lontano
246,farm,azienda agricola
247,fat,Grasso
248,father,padre
249,fear,paura
250,feather,piuma
251,feeble,flebile
252,feeling,sensazione
253,female,femmina
254,fertile,fertile
255,fiction,Fiction
256,field,campo
257,fight,combattere
258,finger,dito
259,fire,fuoco
260,first,primo
261,fish,pesce
262,fixed,fisso
263,flag,bandiera
264,flame,fiamma
265,flat,piatto
266,flight,volo
267,floor,pavimento
268,flower,fiore
269,fly,volare
270,fold,piega
271,food,cibo
272,foolish,folle
273,foot,piede
274,for,per
275,force,forza
276,fork,forchetta
277,form,modulo
278,forward,inoltrare
279,fowl,pollo
280,frame,telaio
281,free,libero
282,frequent,frequente
283,friend,amico
284,from,a partire dal
285,front,davanti
286,fruit,frutta
287,full,completo
288,future,futuro
289,garden,giardino
290,general,generale
291,get,ottenere
292,girl,ragazza
293,give,dare
294,glove,guanto
295,go,andare
296,goat,capra
297,gold,oro
298,good,Buono
299,government,governo
300,grain,grano
301,grass,erba
302,great,grande
303,green,verde
304,grey,grigio
305,grip,presa
306,group,gruppo
307,growth,crescita
308,guide,guida
309,gun,pistola
310,hair,capelli
311,hammer,martello
312,hand,mano
313,hanging,sospeso
314,happy,felice
315,harbour,porto
316,hard,difficile
317,harmony,armonia
318,hat,cappello
319,hate,odiare
320,have,avere
321,he,lui
322,head,testa
323,healthy,sano
324,hearing,udito
325,heart,cuore
326,heat,calore
327,help,aiuto
328,here,qui
329,high,alto
330,history,storia
331,hole,buco
332,hollow,vuoto
333,hook,gancio
334,hope,speranza
335,horn,corno
336,horse,cavallo
337,hospital,Ospedale
338,hour,ora
339,house,Casa
340,how,come
341,humour,umorismo
342,I,io
343,ice,Ghiaccio
344,idea,idea
345,if,Se
346,ill,malato
347,important,importante
348,impulse,impulso
349,in,in
350,increase,aumento
351,industry,industria
352,ink,inchiostro
353,insect,insetto
354,instrument,strumento
355,insurance,assicurazione
356,interest,interesse
357,invention,invenzione
358,iron,ferro da stiro
359,island,isola
360,jelly,gelatina
361,jewel,gioiello
362,join,partecipare
363,journey,viaggio
364,judge,giudice
365,jump,salto
366,keep,conservare
367,kettle,bollitore
368,key,chiave
369,kick,calcio
370,kind,tipo
